GEOID,variable,median_income,moe
11001000101,B19013_001,135708,43153
11001000102,B19013_001,159583,70430
11001000202,B19013_001,152059,60482
11001000300,B19013_001,174470,21374
11001000400,B19013_001,188929,71412
11001000501,B19013_001,109116,18172
11001000502,B19013_001,157344,32376
11001000600,B19013_001,183421,33830
11001000702,B19013_001,87750,16226
11001000703,B19013_001,119077,21804
11001000704,B19013_001,93538,34991
11001000802,B19013_001,144250,25623
11001000803,B19013_001,143375,54772
11001000804,B19013_001,250001,NA
11001000902,B19013_001,231250,58493
11001000903,B19013_001,250001,NA
11001000904,B19013_001,250001,NA
11001001002,B19013_001,157396,32696
11001001003,B19013_001,250001,NA
11001001004,B19013_001,222692,46518
11001001100,B19013_001,206250,116856
11001001200,B19013_001,142396,35397
11001001301,B19013_001,102321,30241
11001001303,B19013_001,100671,31897
11001001304,B19013_001,119638,21175
11001001401,B19013_001,207344,37777
11001001402,B19013_001,185250,51511
11001001500,B19013_001,250001,NA
11001001600,B19013_001,219241,28148
11001001702,B19013_001,133892,23626
11001001803,B19013_001,56964,12669
11001001804,B19013_001,71113,14501
11001001901,B19013_001,109559,59029
11001001902,B19013_001,164137,19217
11001002001,B19013_001,77361,52095
11001002002,B19013_001,250001,NA
11001002101,B19013_001,85316,35954
11001002102,B19013_001,97659,15070
11001002201,B19013_001,160938,46513
11001002202,B19013_001,92805,8480
11001002301,B19013_001,144167,48318
11001002302,B19013_001,106756,11492
11001002400,B19013_001,144167,36882
11001002501,B19013_001,173913,65708
11001002503,B19013_001,122526,49921
11001002504,B19013_001,109918,36092
11001002600,B19013_001,250001,NA
11001002702,B19013_001,137910,26432
11001002703,B19013_001,134702,42613
11001002704,B19013_001,88504,33941
11001002801,B19013_001,86029,16177
11001002802,B19013_001,82675,14933
11001002900,B19013_001,187125,42939
11001003000,B19013_001,103100,28235
11001003100,B19013_001,151635,33416
11001003200,B19013_001,135625,46544
11001003301,B19013_001,219831,28957
11001003302,B19013_001,161250,27095
11001003400,B19013_001,109250,41524
11001003500,B19013_001,109403,26376
