fips_code,variable,estimate,moe
01,B19013_001,54943,377
02,B19013_001,80287,1113
04,B19013_001,65913,387
05,B19013_001,52123,458
06,B19013_001,84097,236
08,B19013_001,80184,450
09,B19013_001,83572,568
10,B19013_001,72724,1127
11,B19013_001,93547,1718
12,B19013_001,61777,263
13,B19013_001,65030,355
15,B19013_001,88005,761
16,B19013_001,63377,614
17,B19013_001,72563,319
18,B19013_001,61944,284
19,B19013_001,65429,397
20,B19013_001,64521,344
21,B19013_001,55454,389
22,B19013_001,53571,378
23,B19013_001,63182,651
24,B19013_001,91431,570
25,B19013_001,89026,495
26,B19013_001,63202,242
27,B19013_001,77706,350
28,B19013_001,49111,447
29,B19013_001,61043,316
30,B19013_001,60560,730
31,B19013_001,66644,429
32,B19013_001,65686,488
33,B19013_001,83449,773
34,B19013_001,89703,507
35,B19013_001,54020,484
36,B19013_001,75157,322
37,B19013_001,60516,353
38,B19013_001,68131,1030
39,B19013_001,61938,252
40,B19013_001,56956,382
41,B19013_001,70084,505
42,B19013_001,67587,271
44,B19013_001,74489,1058
45,B19013_001,58234,482
46,B19013_001,63920,695
47,B19013_001,58516,363
48,B19013_001,67321,214
49,B19013_001,79133,556
50,B19013_001,67674,896
51,B19013_001,80615,377
53,B19013_001,82400,397
54,B19013_001,50884,550
55,B19013_001,67080,329
56,B19013_001,68002,1091
72,B19013_001,21967,175
