GEOID,StateName,Victor
1,Alabama,Goldwater
2,Alaska,Johnson
4,Arizona,Goldwater
5,Arkansas,Johnson
6,California,Johnson
8,Colorado,Johnson
9,Connecticut,Johnson
10,Delaware,Johnson
11,District of Columbia,Johnson
12,Florida,Johnson
13,Georgia,Goldwater
15,Hawaii,Johnson
16,Idaho,Johnson
17,Illinois,Johnson
18,Indiana,Johnson
19,Iowa,Johnson
20,Kansas,Johnson
21,Kentucky,Johnson
22,Louisiana,Goldwater
23,Maine,Johnson
24,Maryland,Johnson
25,Massachusetts,Johnson
26,Michigan,Johnson
27,Minnesota,Johnson
28,Mississippi,Goldwater
29,Missouri,Johnson
30,Montana,Johnson
31,Nebraska,Johnson
32,Nevada,Johnson
33,New Hampshire,Johnson
34,New Jersey,Johnson
35,New Mexico,Johnson
36,New York,Johnson
37,North Carolina,Johnson
38,North Dakota,Johnson
39,Ohio,Johnson
40,Oklahoma,Johnson
41,Oregon,Johnson
42,Pennsylvania,Johnson
44,Rhode Island,Johnson
45,South Carolina,Goldwater
46,South Dakota,Johnson
47,Tennessee,Johnson
48,Texas,Johnson
49,Utah,Johnson
50,Vermont,Johnson
51,Virginia,Johnson
53,Washington,Johnson
54,West Virginia,Johnson
55,Wisconsin,Johnson
56,Wyoming,Johnson
